,Distance,Velocity,Angle,Height,PitchSpeed
0,505,109.7,27.2,91.8,94.7
1,487,111.5,26.3,98.8,84.1
2,486,110.8,27.9,108.1,80.2
3,482,107.7,28.4,93.0,86.3
4,482,113.5,25.1,94.9,92.3
5,482,112.1,25.3,90.4,81.9
6,482,111.9,23.0,87.2,92.8
7,481,113.4,23.5,86.0,82.0
8,479,108.3,28.6,112.4,87.2
9,478,112.1,29.6,112.6,90.7
10,476,113.1,33.3,124.2,85.9
11,474,108.6,32.2,109.4,95.9
12,474,113.3,21.8,81.4,94.7
13,474,109.0,25.9,91.2,93.5
14,474,111.6,28.2,112.0,90.5
15,474,112.2,24.1,81.4,91.2
16,474,110.9,29.5,109.8,86.6
17,473,113.8,23.2,81.1,88.5
18,473,109.5,25.7,92.4,79.2
19,473,112.5,28.7,103.5,87.1
20,473,112.8,26.7,106.1,91.8
21,473,113.1,28.2,121.6,95.4
22,472,114.9,25.1,97.2,92.9
23,472,111.2,30.2,117.7,90.0
24,472,108.5,28.6,97.7,93.2
25,471,110.5,26.6,94.2,100.1
26,471,112.9,26.2,99.3,92.9
27,471,111.6,24.0,84.8,79.4
28,470,109.1,33.0,123.5,84.0
29,470,110.9,22.0,77.7,95.0
30,469,112.4,23.6,93.3,97.4
31,469,113.9,23.5,82.7,87.1
32,469,107.2,27.5,96.7,87.1
33,468,108.4,24.8,82.9,92.1
34,468,108.5,30.9,115.8,86.8
35,467,110.5,30.2,119.2,79.9
36,467,116.0,23.8,91.1,90.0
37,467,108.7,31.6,115.7,98.8
38,467,105.4,25.8,88.1,92.3
39,467,110.8,27.7,103.1,90.6
40,467,111.2,34.9,147.6,95.6
41,467,110.2,32.8,130.3,89.6
42,467,111.3,29.4,106.1,95.7
43,466,110.1,29.1,113.8,80.3
44,466,114.1,28.4,113.4,93.6
45,466,112.7,21.0,68.3,96.7
46,465,112.1,28.0,100.9,84.8
47,465,108.1,28.4,108.3,88.5
48,465,113.1,28.0,95.9,95.5
49,465,113.7,26.4,101.7,92.8
